business_id,evidence_group,candidate_id,valid,budget-reduction_loss,fixed-budget-mix_loss,budget-growth_loss,economic-ceiling_loss,budget-reduction_uncapped_loss,fixed-budget-mix_uncapped_loss,budget-growth_uncapped_loss,economic-ceiling_uncapped_loss,risk,uncapped_risk
amss-v11c-001,paid-social-experiment,"V6-C01 · benchmark-gap-fill",true,0.0660398044764622,0.06457338303733466,0.17871556016157975,0.1789423652187247,0.0660398044764622,0.06457338303733466,0.17871556016157975,0.1789423652187247,0.14195006914084488,0.14195006914084488
amss-v11c-001,paid-social-experiment,"V6-C01 · experiments-only",true,0.2607596745325949,0.2581663396832541,0.09843131068246293,0.2000141634952618,0.2607596745325949,0.2581663396832541,0.09843131068246293,0.2000141634952618,0.22381645279118315,0.22381645279118315
amss-v11c-001,paid-social-experiment,"V6-C02 · benchmark-gap-fill",true,0.0660398044764622,0.06457338303733466,0.17871556016157975,0.1789423652187247,0.0660398044764622,0.06457338303733466,0.17871556016157975,0.1789423652187247,0.14195006914084488,0.14195006914084488
amss-v11c-001,paid-social-experiment,"V6-C02 · experiments-only",true,0.151669060761785,0.1542349599268598,0.1528900336751289,0.16092490240411686,0.151669060761785,0.1542349599268598,0.1528900336751289,0.16092490240411686,0.15632560235611112,0.15632560235611112
amss-v11c-001,paid-social-experiment,"V6-C03 · benchmark-gap-fill",true,0.033554433227502366,0.026107472705299187,0.03026645780648178,0.03657287505088399,0.033554433227502366,0.026107472705299187,0.03026645780648178,0.03657287505088399,0.03304002117975652,0.03304002117975652
amss-v11c-001,paid-social-experiment,"V6-C03 · experiments-only",true,0.1921386044599965,0.1945275853641437,0.054538497634240846,0.053450581980690366,0.1921386044599965,0.1945275853641437,0.054538497634240846,0.053450581980690366,0.14821529316636395,0.14821529316636395
amss-v11c-001,paid-social-experiment,"V6-C04 · benchmark-gap-fill",true,0.02152056685486189,0.026107472705299187,0.03026645780648178,0.03657287505088399,0.02152056685486189,0.026107472705299187,0.03026645780648178,0.03657287505088399,0.03073928047499528,0.03073928047499528
amss-v11c-001,paid-social-experiment,"V6-C04 · experiments-only",true,0.2607596745325949,0.2581663396832541,0.04527827021288408,0.04774051794413262,0.2607596745325949,0.2581663396832541,0.04527827021288408,0.04774051794413262,0.1904346163128181,0.1904346163128181
amss-v11c-001,paid-social-experiment,"V6-C05 · benchmark-gap-fill",true,0.014689460364912404,0.026107472705299187,0.03026645780648178,0.014458591860362236,0.014689460364912404,0.026107472705299187,0.03026645780648178,0.014458591860362236,0.024053888991415986,0.024053888991415986
amss-v11c-001,paid-social-experiment,"V6-C05 · experiments-only",true,0.1921386044599965,0.1945275853641437,0.05595645019530074,0.06142796353558936,0.1921386044599965,0.1945275853641437,0.05595645019530074,0.06142796353558936,0.14974203496020727,0.14974203496020727
