time.index,tv.volume,tv.spend,search.clicks,search.imps,search.matching.query.volume,search.query.volume,search.spend,total.spend,brand.sales,competitor.sales,revenue,profit,tv.budget.index,tv.budget,search.budget.index,search.budget,market.rate
53,503317538,2516454.37794376,0,0,4583116,20356163,0,2516454.37794376,1887883,9601992,151030640,148514185.622056,2,47500000,2,1.2e+07,0.873183960804094
54,0,0,348841,4446718,4446718,19760784,383725.1,383725.1,1698725,9444149,135898000,135514274.9,2,47500000,2,1.2e+07,0.844190095439097
55,485286985,2426424.06557854,413383,5169726,5169726,22964108,454721.3,2881145.36557854,2173900,11045116,173912000,171030854.634421,2,47500000,2,1.2e+07,1
56,0,0,367194,4650836,4650836,20659666,403913.4,403913.4,1786094,9924738,142887520,142483606.6,2,47500000,2,1.2e+07,0.887584215119276
57,0,0,368439,4662687,4662687,20733026,405282.9,405282.9,1790024,9967191,143201920,142796637.1,2,47500000,2,1.2e+07,0.891316308448446
58,919241857,4596378.34489722,342512,4371751,4371751,19426690,376763.2,4973141.54489723,1816798,9140197,145343840,140370698.455103,2,47500000,2,1.2e+07,0.828484956590745
59,0,0,304936,3955576,3955576,17582171,335429.6,335429.6,1485401,8254691,118832080,118496650.4,2,47500000,2,1.2e+07,0.737981455000605
60,689597729,3448064.43570196,315992,4078632,4078632,18127734,347591.2,3795655.63570196,1669797,8445817,133583760,129788104.364298,2,47500000,2,1.2e+07,0.765228083138234
61,0,0,254716,3382944,3382944,15033052,280187.6,280187.6,1237241,6869610,98979280,98699092.4,2,47500000,2,1.2e+07,0.614093666835498
62,322450,1612.49798057951,321795,4146485,4146485,18427446,353974.5,355586.997980579,1568280,8718241,125462400,125106813.002019,2,47500000,2,1.2e+07,0.77926590497825
63,0,0,296637,3857380,3857380,17137921,326300.7,326300.7,1444485,8021768,115558800,115232499.3,2,47500000,2,1.2e+07,0.716916961846592
64,250467338,1252333.20621907,332807,4265876,4265876,18955188,366087.7,1618420.90621907,1721441,8915963,137715280,136096859.093781,2,47500000,2,1.2e+07,0.804705879340995
65,0,0,0,0,3779971,16809164,0,0,1400209,7798801,112016720,112016720,2,47500000,2,1.2e+07,0.700224597408975
66,1010885899,5054292.79036348,0,0,3219416,14309143,0,5054292.79036348,1265541,6356623,101243280,96188987.2096365,2,47500000,2,1.2e+07,0.579386828541236
67,0,0,247187,3302915,3302915,14681775,271905.7,271905.7,1200869,6681580,96069520,95797614.3,2,47500000,2,1.2e+07,0.597192603380089
68,1082468390,5412453.39584888,208220,2852164,2852164,12681483,229042,5641495.39584888,1098296,5510210,87863680,82222184.6041511,2,47500000,2,1.2e+07,0.499808778707202
69,0,0,183033,2571099,2571099,11421420,201336.3,201336.3,883092,4903928,70647360,70446023.7,2,47500000,2,1.2e+07,0.438734487705699
70,22470135,112363.731013256,198364,2746894,2746894,12197364,218200.4,330564.131013256,968431,5320567,77474480,77143915.8689867,2,47500000,2,1.2e+07,0.476658962038742
71,0,0,182384,2562721,2562721,11380451,200622.4,200622.4,876381,4883662,70110480,69909857.6,2,47500000,2,1.2e+07,0.436583522902038
72,0,0,179125,2521259,2521259,11205344,197037.5,197037.5,862554,4791821,69004320,68807282.5,2,47500000,2,1.2e+07,0.428178168147655
73,102501975,512533.777678491,172995,2452220,2452220,10913473,190294.5,702828.277678491,861889,4609351,68951120,68248291.7223215,2,47500000,2,1.2e+07,0.414077032094288
74,0,0,155284,2260924,2260924,10057813,170812.4,170812.4,749681,4165460,59974480,59803667.6,2,47500000,2,1.2e+07,0.372427600046334
75,0,0,146748,2163382,2163382,9629832,161422.8,161422.8,708285,3934907,56662800,56501377.2,2,47500000,2,1.2e+07,0.351807383162305
76,0,0,147741,2176768,2176768,9681240,162515.1,162515.1,711149,3957275,56891920,56729404.9,2,47500000,2,1.2e+07,0.353737907660141
77,0,0,163814,2360388,2360388,10489554,180195.4,180195.4,792826,4404618,63426080,63245884.6,2,47500000,2,1.2e+07,0.393754380433237
78,0,0,0,0,1979927,8800023,0,0,623690,3465787,49895200,49895200,2,47500000,2,1.2e+07,0.311469416056109
79,116329915,581710.571819817,0,0,2197002,9758635,0,581710.571819817,743017,3960083,59441360,58859649.4281802,2,47500000,2,1.2e+07,0.3577873105018
80,0,0,152725,2230304,2230304,9916725,167997.5,167997.5,735137,4085621,58810960,58642962.5,2,47500000,2,1.2e+07,0.365345539955761
81,79317773,396601.850924633,166847,2379288,2379288,10572284,183531.7,580133.550924633,822382,4426218,65790560,65210426.4490754,2,47500000,2,1.2e+07,0.397615484142985
82,0,0,153988,2243164,2243164,9972917,169386.8,169386.8,741226,4115179,59298080,59128693.2,2,47500000,2,1.2e+07,0.368028072459509
83,509708095,2548606.94689303,164901,2358142,2358142,10471161,181391.1,2729998.04689303,853255,4338128,68260400,65530401.953107,2,47500000,2,1.2e+07,0.392553641276205
84,0,0,170381,2430903,2430903,10803328,187419.1,187419.1,821713,4574970,65737040,65549620.9,2,47500000,2,1.2e+07,0.40864698641722
85,446537887,2232584.68317762,165377,2372119,2372119,10541758,181914.7,2414499.38317762,857142,4375584,68571360,66156860.6168224,2,47500000,2,1.2e+07,0.396026679696344
86,0,0,199176,2755362,2755362,12246929,219093.6,219093.6,963294,5356335,77063520,76844426.4,2,47500000,2,1.2e+07,0.478936511918871
87,0,0,217800,2957103,2957103,13146923,239580,239580,1052527,5850005,84202160,83962580,2,47500000,2,1.2e+07,0.522829847430323
88,504743679,2523887.68497292,223157,3023762,3023762,13437391,245472.7,2769360.38497292,1165668,5930704,93253440,90484079.6150271,2,47500000,2,1.2e+07,0.536687677243625
89,0,0,251810,3347150,3347150,14857976,276991,276991,1217325,6774115,97386000,97109009,2,47500000,2,1.2e+07,0.605516837444736
90,7435569,37189.3718692995,248717,3312493,3312493,14718267,273588.7,310778.0718693,1208803,6689403,96704240,96393461.9281307,2,47500000,2,1.2e+07,0.598792111591288
91,21666399,108285.161745088,0,0,2939873,13066137,0,108285.161745088,1048171,5770549,83853680,83745394.8382549,2,47500000,2,1.2e+07,0.519021139847274
92,0,0,0,0,3088075,13738117,0,0,1103886,6135843,88310880,88310880,2,47500000,2,1.2e+07,0.551128380689789
93,519795182,2598798.22375534,224668,3045219,3045219,13527224,247134.8,2845933.02375534,1178690,5977637,94295200,91449266.9762446,2,47500000,2,1.2e+07,0.541123680866105
94,0,0,249869,3327069,3327069,14786066,274855.9,274855.9,1211473,6730890,96917840,96642984.1,2,47500000,2,1.2e+07,0.602069825385422
95,0,0,261191,3453554,3453554,15347058,287310.1,287310.1,1265772,7043520,101261760,100974449.9,2,47500000,2,1.2e+07,0.629812758966828
96,200293340,1001521.90713125,290533,3781718,3781718,16813053,319586.3,1321108.20713125,1486380,7771233,118910400,117589291.792869,2,47500000,2,1.2e+07,0.700700941667475
97,638271834,3191471.15352958,278087,3654964,3654964,16240599,305895.7,3497366.85352958,1466574,7427716,117325920,113828553.14647,2,47500000,2,1.2e+07,0.672726180244152
98,0,0,313753,4035103,4035103,17945767,345128.3,345128.3,1521555,8453591,121724400,121379271.7,2,47500000,2,1.2e+07,0.755872050744095
99,800762234,4003671.49492166,304933,3941804,3941804,17521740,335426.3,4339097.79492166,1606678,8112351,128534240,124195142.205078,2,47500000,2,1.2e+07,0.734921313401248
100,44064017,220302.653844527,382489,4818743,4818743,21431255,420737.9,641040.553844527,1892321,10322925,151385680,150744639.446155,2,47500000,2,1.2e+07,0.925553068401158
101,124633476,623176.177403599,378109,4772580,4772580,21207811,415919.9,1039096.0774036,1913863,10165426,153109040,152069943.922596,2,47500000,2,1.2e+07,0.914159090954007
102,19843733,99210.3389539171,385698,4859990,4859990,21611540,424267.8,523478.138953917,1897280,10440370,151782400,151258921.861046,2,47500000,2,1.2e+07,0.934403292162861
103,965813,4829.69528515479,374521,4722258,4722258,20989339,411973.1,416802.795285155,1822250,10111143,145780000,145363197.204715,2,47500000,2,1.2e+07,0.904140856212135
104,399051474,1995241.46054733,0,0,5164876,22963029,0,1995241.46054733,2148699,11011088,171895920,169900678.539453,2,47500000,2,1.2e+07,1
105,0,0,0,0,6670018,19766469,0,0,1691063,9409727,135285040,135285040,3,4.2e+07,3,1.8e+07,0.84494523145102
106,493381541,2466832.98489348,502705,6426068,6426068,19032072,552975.5,3019808.48489348,1759471,8957066,140757680,137737871.515107,3,4.2e+07,3,1.8e+07,0.809311926240827
107,0,0,587456,7380613,7380613,21862746,646201.6,646201.6,1908103,10605754,152648240,152002038.4,3,4.2e+07,3,1.8e+07,0.946294475247972
108,0,0,504713,6450889,6450889,19114921,555184.3,555184.3,1638532,9110001,131082560,130527375.7,3,4.2e+07,3,1.8e+07,0.812737486158709
109,0,0,496259,6357941,6357941,18838726,545884.9,545884.9,1611836,8956237,128946880,128400995.1,3,4.2e+07,3,1.8e+07,0.798903798626778
110,367610992,1838094.88822402,477323,6150578,6150578,18218698,525055.3,2363150.18822402,1660792,8519402,132863360,130500209.811776,3,4.2e+07,3,1.8e+07,0.768943526262645
111,0,0,467375,6034954,6034954,17879156,514112.5,514112.5,1518993,8436408,121519440,121005327.5,3,4.2e+07,3,1.8e+07,0.75231470475684
112,456522573,2282503.03581319,457098,5915692,5915692,17527047,502807.8,2785310.83581319,1596847,8144374,127747760,124962449.164187,3,4.2e+07,3,1.8e+07,0.735230554352479
113,190399846,952099.697494032,476156,6141757,6141757,18191382,523771.6,1475871.29749403,1630172,8541698,130413760,128937888.702506,3,4.2e+07,3,1.8e+07,0.768116116409436
114,203466271,1017333.6188213,441490,5750105,5750105,17034455,485639,1502972.6188213,1513668,7911168,121093440,119590467.381179,3,4.2e+07,3,1.8e+07,0.711623055809078
115,0,0,406107,5349703,5349703,15848698,446717.7,446717.7,1317894,7332900,105431520,104984802.3,3,4.2e+07,3,1.8e+07,0.654098525408907
116,0,0,455493,5905882,5905882,17500481,501042.3,501042.3,1482095,8230885,118567600,118066557.7,3,4.2e+07,3,1.8e+07,0.734432738649278
117,0,0,0,0,5242793,15537440,0,0,1279992,7106066,102399360,102399360,3,4.2e+07,3,1.8e+07,0.638609506195763
118,431324677,2156522.28380361,0,0,4921771,14579208,0,2156522.28380361,1277011,6514440,102160880,100004357.716196,3,4.2e+07,3,1.8e+07,0.592143848238089
119,0,0,350186,4714217,4714217,13963740,385204.6,385204.6,1131814,6298963,90545120,90159915.4,3,4.2e+07,3,1.8e+07,0.56218081114358
120,0,0,358040,4795668,4795668,14213616,393844,393844,1157635,6441420,92610800,92216956,3,4.2e+07,3,1.8e+07,0.574708722973527
121,0,0,322400,4402175,4402175,13048221,354640,354640,1043390,5800788,83471200,83116560,3,4.2e+07,3,1.8e+07,0.517568775295679
122,0,0,302466,4166060,4166060,12343336,332712.6,332712.6,973830,5426917,77906400,77573687.4,3,4.2e+07,3,1.8e+07,0.483847800618108
123,171808095,858843.021162657,267234,3784488,3784488,11205356,293957.4,1152800.42116266,907495,4759812,72599600,71446799.5788373,3,4.2e+07,3,1.8e+07,0.428210956409736
124,0,0,257784,3672592,3672592,10884088,283562.4,283562.4,831781,4622072,66542480,66258917.6,3,4.2e+07,3,1.8e+07,0.412319060738358
125,953228873,4765899.58291156,255304,3647929,3647929,10811019,280834.4,5046733.98291155,898250,4520241,71860000,66813266.0170885,3,4.2e+07,3,1.8e+07,0.408994677437148
126,0,0,232490,3383752,3383752,10030445,255739,255739,747202,4159967,59776160,59520421,3,4.2e+07,3,1.8e+07,0.370995210360442
127,357832546,1789175.83554308,244743,3526360,3526360,10443838,269217.3,2058393.13554308,846223,4334384,67697840,65639446.8644569,3,4.2e+07,3,1.8e+07,0.391132175073294
128,0,0,199619,3010041,3010041,8913043,219580.9,219580.9,639719,3552482,51177520,50957939.1,3,4.2e+07,3,1.8e+07,0.316823020954327
129,306211535,1531068.54712574,222017,3262329,3262329,9666232,244218.7,1775287.24712574,760387,3917371,60830960,59055672.7528743,3,4.2e+07,3,1.8e+07,0.353249024585914
130,0,0,0,0,2887711,8552453,0,0,598674,3331328,47893920,47893920,3,4.2e+07,3,1.8e+07,0.29907052267909
131,105899117,529566.154917858,0,0,3061766,9065945,0,529566.154917858,671907,3588176,53752560,53222993.8450821,3,4.2e+07,3,1.8e+07,0.324207362228358
